街道,区划代码,县区,区划代码,城市,区划代码,省份
东华门街道,110101001000	,东城区,110101000000	,东城区,110101000000	,北京市
景山街道,110101002000	,东城区,110101000000	,东城区,110101000000	,北京市
交道口街道,110101003000	,东城区,110101000000	,东城区,110101000000	,北京市
安定门街道,110101004000	,东城区,110101000000	,东城区,110101000000	,北京市
北新桥街道,110101005000	,东城区,110101000000	,东城区,110101000000	,北京市
东四街道,110101006000	,东城区,110101000000	,东城区,110101000000	,北京市
朝阳门街道,110101007000	,东城区,110101000000	,东城区,110101000000	,北京市
建国门街道,110101008000	,东城区,110101000000	,东城区,110101000000	,北京市
东直门街道,110101009000	,东城区,110101000000	,东城区,110101000000	,北京市
和平里街道,110101010000	,东城区,110101000000	,东城区,110101000000	,北京市
前门街道,110101011000	,东城区,110101000000	,东城区,110101000000	,北京市
崇文门外街道,110101012000	,东城区,110101000000	,东城区,110101000000	,北京市
东花市街道,110101013000	,东城区,110101000000	,东城区,110101000000	,北京市
龙潭街道,110101014000	,东城区,110101000000	,东城区,110101000000	,北京市
体育馆路街道,110101015000	,东城区,110101000000	,东城区,110101000000	,北京市
天坛街道,110101016000	,东城区,110101000000	,东城区,110101000000	,北京市
永定门外街道,110101017000	,东城区,110101000000	,东城区,110101000000	,北京市
西长安街街道,110102001000	,西城区,110102000000	,西城区,110102000000	,北京市
新街口街道,110102003000	,西城区,110102000000	,西城区,110102000000	,北京市
月坛街道,110102007000	,西城区,110102000000	,西城区,110102000000	,北京市
展览路街道,110102009000	,西城区,110102000000	,西城区,110102000000	,北京市
德胜街道,110102010000	,西城区,110102000000	,西城区,110102000000	,北京市
金融街街道,110102011000	,西城区,110102000000	,西城区,110102000000	,北京市
什刹海街道,110102012000	,西城区,110102000000	,西城区,110102000000	,北京市
大栅栏街道,110102013000	,西城区,110102000000	,西城区,110102000000	,北京市
天桥街道,110102014000	,西城区,110102000000	,西城区,110102000000	,北京市
椿树街道,110102015000	,西城区,110102000000	,西城区,110102000000	,北京市
陶然亭街道,110102016000	,西城区,110102000000	,西城区,110102000000	,北京市
广安门内街道,110102017000	,西城区,110102000000	,西城区,110102000000	,北京市
牛街街道,110102018000	,西城区,110102000000	,西城区,110102000000	,北京市
白纸坊街道,110102019000	,西城区,110102000000	,西城区,110102000000	,北京市
广安门外街道,110102020000	,西城区,110102000000	,西城区,110102000000	,北京市
建外街道,110105001000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
朝外街道,110105002000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
呼家楼街道,110105003000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
三里屯街道,110105004000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
左家庄街道,110105005000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
香河园街道,110105006000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
和平街街道,110105007000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
安贞街道,110105008000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
亚运村街道,110105009000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
小关街道,110105010000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
酒仙桥街道,110105011000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
麦子店街道,110105012000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
团结湖街道,110105013000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
六里屯街道,110105014000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
八里庄街道,110105015000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
双井街道,110105016000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
劲松街道,110105017000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
潘家园街道,110105018000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
垡头街道,110105019000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
南磨房地区,110105021000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
高碑店地区,110105022000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
将台地区,110105023000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
太阳宫地区,110105024000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
大屯街道,110105025000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
望京街道,110105026000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
小红门地区,110105027000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
十八里店地区,110105028000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
平房地区,110105029000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
东风地区,110105030000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
奥运村街道,110105031000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
来广营地区,110105032000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
常营地区,110105033000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
三间房地区,110105034000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
管庄地区,110105035000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
金盏地区,110105036000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
孙河地区,110105037000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
崔各庄地区,110105038000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
东坝地区,110105039000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
黑庄户地区,110105040000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
豆各庄地区,110105041000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
王四营地区,110105042000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
东湖街道,110105043000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
首都机场街道,110105400000	,朝阳区,110105000000	,朝阳区,110105000000	,北京市
右安门街道,110106001000	,丰台区,110106000000	,丰台区,110106000000	,北京市
太平桥街道,110106002000	,丰台区,110106000000	,丰台区,110106000000	,北京市
西罗园街道,110106003000	,丰台区,110106000000	,丰台区,110106000000	,北京市
大红门街道,110106004000	,丰台区,110106000000	,丰台区,110106000000	,北京市
南苑街道,110106005000	,丰台区,110106000000	,丰台区,110106000000	,北京市
东高地街道,110106006000	,丰台区,110106000000	,丰台区,110106000000	,北京市
东铁匠营街道,110106007000	,丰台区,110106000000	,丰台区,110106000000	,北京市
卢沟桥街道,110106008000	,丰台区,110106000000	,丰台区,110106000000	,北京市
丰台街道,110106009000	,丰台区,110106000000	,丰台区,110106000000	,北京市
新村街道,110106010000	,丰台区,110106000000	,丰台区,110106000000	,北京市
长辛店街道,110106011000	,丰台区,110106000000	,丰台区,110106000000	,北京市
云岗街道,110106012000	,丰台区,110106000000	,丰台区,110106000000	,北京市
方庄地区,110106013000	,丰台区,110106000000	,丰台区,110106000000	,北京市
宛平城地区,110106014000	,丰台区,110106000000	,丰台区,110106000000	,北京市
马家堡街道,110106015000	,丰台区,110106000000	,丰台区,110106000000	,北京市
和义街道,110106016000	,丰台区,110106000000	,丰台区,110106000000	,北京市
卢沟桥地区,110106017000	,丰台区,110106000000	,丰台区,110106000000	,北京市
花乡地区,110106018000	,丰台区,110106000000	,丰台区,110106000000	,北京市
南苑地区,110106019000	,丰台区,110106000000	,丰台区,110106000000	,北京市
长辛店镇,110106100000	,丰台区,110106000000	,丰台区,110106000000	,北京市
王佐镇,110106101000	,丰台区,110106000000	,丰台区,110106000000	,北京市
八宝山街道,110107001000	,石景山区,110107000000	,石景山区,110107000000	,北京市
老山街道,110107002000	,石景山区,110107000000	,石景山区,110107000000	,北京市
八角街道,110107003000	,石景山区,110107000000	,石景山区,110107000000	,北京市
古城街道,110107004000	,石景山区,110107000000	,石景山区,110107000000	,北京市
苹果园街道,110107005000	,石景山区,110107000000	,石景山区,110107000000	,北京市
金顶街街道,110107006000	,石景山区,110107000000	,石景山区,110107000000	,北京市
广宁街道,110107009000	,石景山区,110107000000	,石景山区,110107000000	,北京市
五里坨街道,110107010000	,石景山区,110107000000	,石景山区,110107000000	,北京市
鲁谷街道,110107011000	,石景山区,110107000000	,石景山区,110107000000	,北京市
万寿路街道,110108001000	,海淀区,110108000000	,海淀区,110108000000	,北京市
永定路街道,110108002000	,海淀区,110108000000	,海淀区,110108000000	,北京市
羊坊店街道,110108003000	,海淀区,110108000000	,海淀区,110108000000	,北京市
甘家口街道,110108004000	,海淀区,110108000000	,海淀区,110108000000	,北京市
八里庄街道,110108005000	,海淀区,110108000000	,海淀区,110108000000	,北京市
紫竹院街道,110108006000	,海淀区,110108000000	,海淀区,110108000000	,北京市
北下关街道,110108007000	,海淀区,110108000000	,海淀区,110108000000	,北京市
北太平庄街道,110108008000	,海淀区,110108000000	,海淀区,110108000000	,北京市
学院路街道,110108010000	,海淀区,110108000000	,海淀区,110108000000	,北京市
中关村街道,110108011000	,海淀区,110108000000	,海淀区,110108000000	,北京市
海淀街道,110108012000	,海淀区,110108000000	,海淀区,110108000000	,北京市
青龙桥街道,110108013000	,海淀区,110108000000	,海淀区,110108000000	,北京市
